"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
2607;Плещеевская ул 4 ;16;569,1;2;75,2;13,21;2,10,
2608;Плещеевская ул 5 ;8;418,5;5;268,2;64,09;1, 2, 3, 4, 6
2609;Плещеевская ул 6 ;9;398,5;8;354,9;89,06;1.,1,3,4,5,6,7,8,
2610;Плещеевская ул 7 ;8;282,6;2;77;27,25;2, 7
2611;Плещеевская ул 8 ;8;400,8;7;345,1;100,00;2,3,4,5,6,7,8,
2612;Плещеевская ул 8 ;;;1;55,7;;1
2613;Плещеевская ул 9 ;8;272,7;1;37,9;13,90;7,
2614;Победы бульвар 1 ;159;9531,8;0;0;0,00;
2615;Победы бульвар 11 ;8;415;2;99,3;23,93;2,7,
2616;Победы бульвар 13 ;18;742,2;3;104;14,01;3,6,12,
2617;Победы бульвар 2 ;168;9924,5;1;48,8;0,49;128,
2618;Победы бульвар 3 ;50;2950,7;0;0;0,00;
2619;Победы бульвар 5 ;96;5791,3;1;69,9;1,21;14
2620;Победы бульвар 7 ;59;2426,3;5;208,9;8,61;6, 14, 21, 36, 57
2621;Победы бульвар 7 А;103;5543,6;5;272,5;4,92;39, 53, 64, 81, 82
2622;Победы бульвар 9 ;12;613,1;1;44;7,18;10
2623;Пожарная ул 25 ;72;3965,6;2;119,9;3,02;60, 69
2624;Пожарная ул 27 ;146;7881,8;6;290,5;3,69;22, 26, 75, 122, 126, 128
2625;Пожарная ул 32 ;133;8474,05;0;0;0,00;
2626;Пожарная ул 32 ;71;4014,8;0;0;0,00;
2627;Пожарная ул 5 а;1;91;0;0;0,00;
2628;Пожарная ул 78 ;70;3438,7;0;0;0,00;
2629;Покровская ул 10 ;99;2167,1;12;286,7;13,23;1.6, 2-5, 7.10, 155, 243., 258, 258., 258.., 267., 281, 291, 296
2630;Покровская ул 18 ;40;1598,5;2;84,5;5,29;21, 39
2631;Покровская ул 28 ;75;3914,65;4;177,4;4,53;13, 23, 25, 47
2632;Покровская ул 29 ;5;179,3;0;0;0,00;
2633;Полевая ул 6 ;4;128,56;2;64,72;50,34;1,4,
2634;Полесская ул 12 ;70;3116,2;6;300,8;9,65;9,27,48,54,55,59,
2635;Полесская ул 16 ;81;3535,2;11;475,8;13,46;7, 10, 20, 33, 34, 37, 40, 41, 42, 63, 80
2636;Полесская ул 18 ;14;368,7;4;129;149,50;4.2,6,7,8,
2637;Полесская ул 18 ;;;1;52;;2(38/52)
2638;Полесская ул 18 ;;;1;28,3;;5(17/28)
2639;Полесская ул 18 ;;;1;53;;4(16/53)
2640;Полесская ул 18 ;;;1;28,3;;5(11/28)
2641;Полесская ул 18 ;;;1;52;;2
2642;Полесская ул 18 ;;;1;53;;4(14/53)
2643;Полесская ул 18 ;;;1;42;;3
2644;Полесская ул 18 ;;;1;18,9;;5а
2645;Полесская ул 18 ;;;1;53,2;;7(15/53)
2646;Полесская ул 18 ;;;1;41,5;;1
2647;Полесская ул 19 ;206;14125,3;1;96,9;1,04;108,
2648;Полесская ул 19 ;;49,5;1;49,5;;85
2649;Полесская ул 20 ;13;370,8;6;176,4;99,92;2,7,9,10,12,13,
2650;Полесская ул 20 ;;;1;22,2;;1
2651;Полесская ул 20 ;;;1;22,2;;5
2652;Полесская ул 20 ;;;1;28,2;;6
2653;Полесская ул 20 ;;;1;42,9;;3
2654;Полесская ул 20 ;;;1;28,5;;11
2655;Полесская ул 20 ;;;1;22,2;;15
2656;Полесская ул 20 ;;;1;27,9;;14
2657;Полесская ул 43 ;72;3838,2;3;158,6;5,50;7,29,33,
2658;Полесская ул 43 ;;;1;52,6;;63
2659;Полесская ул 45 ;108;5802,2;0;0;0,00;
2660;Полесская ул 47 ;107;5741,3;5;272,9;4,75;7, 9, 71, 78, 84
2661;Полесская ул 49 ;107;5800,7;5;297,8;5,13;9,14,16,29,71,
2662;Полесская ул 51 ;107;5769,3;1;63,4;1,10;96
2663;Полесская ул 53 ;181;9594,5;9;523,1;5,45;22, 36, 39, 73, 107, 108, 162, 171, 172
2664;Полесская ул 55 ;237;13385,3;5;333,8;2,49;51, 109, 175, 190, 234
2665;Полесская ул 8 ;60;2861;0;0;0,00;
2666;Поселковая ул 2;1;46,6;1;46,6;0,00;1
2667;Поликарпова площадь 10 ;109;6119,1;4;238,3;3,89;57, 76, 88, 90
2668;Поликарпова площадь 18 ;16;453,3;7;158,2;34,90;3, 5, 7, 9, 11, 14, 20
2669;Поликарпова площадь 2 ;47;1959,3;1;30,6;1,56;8
2670;Поликарпова площадь 4 ;37;1468;3;131,8;8,98;7,34,36,
2671;Поликарпова площадь 4 А;43;1524,9;2;74,6;6,33;8,9,
2672;Поликарпова площадь 4 А;;22;1;22;;28/1(22/,
2673;Поликарпова ул 24 ;2;105,3;1;52,2;49,57;1,
2674;Поликарпова ул 26 ;2;108,1;1;54,9;50,79;1,
2675;Поликарпова ул 28 ;2;113,8;0;0;0,00;
2676;Поликарпова ул 30 ;3;74,95;1;17,9;70,58;2.,
2677;Поликарпова ул 30 ;;35;1;35;;2(35/53),
2678;Поликарпова ул 36 ;2;100,5;1;54,8;54,53;2,
2679;Поликарпова ул 40 ;2;133,5;0;0;0,00;
2680;Поликарпова ул 42 ;2;131,7;0;0;0,00;
2681;Поликарпова ул 44 ;3;92,7;1;55,8;60,19;2,
2682;Поликарпова ул 46 ;3;158,5;0;0;0,00;
2683;Поликарпова ул 47 ;2;104,7;1;52,5;50,14;2
2684;Поликарпова ул 48 ;3;129,9;0;0;0,00;
2685;Поликарпова ул 49 ;2;116,5;0;0;0,00;
2686;Поликарпова ул 51 ;2;140,7;0;0;0,00;
2687;Полковника Старинова ул 3;1;35,4;1;35,4;0,00;25
2688;Полковника Старинова ул 3;1;35,5;1;35,5;0,00;48
2689;Полковника Старинова ул 3;1;35,5;1;35,5;0,00;61
2690;Полковника Старинова ул 3;1;35,6;1;35,6;0,00;90
2691;Полковника Старинова ул 3;1;35,5;1;35,5;0,00;144
2692;Полковника Старинова ул 5;1;11006,2;0;0;47,08;
2693;Полковника Старинова ул 5;1;;1;61,4;;15
2694;Полковника Старинова ул 5;1;;1;61,2;;33
2695;Полковника Старинова ул 5;1;;1;59,8;;63
2696;Полковника Старинова ул 5;1;;1;59,8;;93
2697;Полковника Старинова ул 5;1;;2;59,8;;111,111.
2698;Полковника Старинова ул 5;1;;1;59,8;;129
2699;Полковника Старинова ул 5;1;;1;59,7;;141
2700;Полковника Старинова ул 5;1;;1;59,6;;159
2701;Полковника Старинова ул 5;1;;1;35,6;;54
2703;Полковника Старинова ул 5;1;;1;35,5;;12
2704;Полковника Старинова ул 5;1;;1;35,6;;25
2705;Полковника Старинова ул 5;1;;1;35,7;;31 (специализированный жилищный фонд для детей-сирот)
2706;Полковника Старинова ул 5;1;;1;35,6;;42 (специализированный жилищный фонд для детей-сирот)
2707;Полковника Старинова ул 5;1;;1;35,8;;43 (специализированный жилищный фонд для детей-сирот)
2708;Полковника Старинова ул 5;1;;1;35,9;;48 (специализированный жилищный фонд для детей-сирот)
2709;Полковника Старинова ул 5;1;;1;35,6;;61
2710;Полковника Старинова ул 5;1;;1;35,5;;66 (специализированный жилищный фонд для детей-сирот)
2711;Полковника Старинова ул 5;1;;1;35,4;;79
2713;Полковника Старинова ул 5;1;;1;35,7;;90
2715;Полковника Старинова ул 5;1;;1;35,4;;97
2716;Полковника Старинова ул 5;1;;1;35,2;;115 (специализированный жилищный фонд для детей-сирот)
2718;Полковника Старинова ул 5;1;;1;35,4;;133
2720;Полковника Старинова ул 5;1;;1;35,4;;139
2721;Полковника Старинова ул 5;1;;1;35,5;;144
2722;Полковника Старинова ул 5;1;;1;35,3;;145
2723;Полковника Старинова ул 5;1;;1;59,4;;105
2724;Полковника Старинова ул 5;1;;1;59,7;;153
2725;Полковника Старинова ул 5;1;;1;59,5;;99
2726;Полковника Старинова ул 5;1;;1;35,6;;162
2727;Полярная ул 10 ;12;405,1;0;0;0,00;
2728;Полярная ул 2 ;3;92,5;0;0;0,00;
2729;Полярная ул 4 ;1;38,8;0;0;0,00;
2730;Полярная ул 6 ;4;133,6;0;0;0,00;
2731;Полярный пер 2 ;145;4970,1;7;260,4;5,24;8, 53, 71, 106, 125, 133, 143
2732;Полярный пер 4 ;105;5687,4;10;546,5;9,61;14, 24, 26, 31, 44, 62, 69, 71(специализированный маневренный жилищный фонд), 74, 88
2733;Почтовый пер 10 ;82;3745,9;0;0;0,00;
2734;Почтовый пер 14 ;21;2828,1;0;0;0,00;
2735;Почтовый пер 16 ;49;2554,9;0;0;0,00;
2736;Почтовый пер 6 ;80;3730,9;0;0;1,23;
2737;Почтовый пер 6 ;;45,9;1;45,9;;72,
2738;Почтовый пер 8 ;80;3779,7;0;0;0,00;
2739;Приборостроительная ул 14 ;13;299,6;0;0;0,00;
2740;Приборостроительная ул 15 ;202;11272,8;9;540,3;4,79;23, 72, 142, 143, 145, 175, 176, 177, 182
2741;Приборостроительная ул 17 ;180;9773,5;14;816,7;8,36;31, 66, 67, 72, 109, 112, 116, 133, 145, 147, 149, 175, 177, 178
2742;Приборостроительная ул 18 ;142;7783,1;8;466,4;6,85;3,40,49,71,73,103,105,142,
2743;Приборостроительная ул 18 ;;66,5;1;66,5;;84(27/67,
2744;Приборостроительная ул 19 ;163;9402;7;396;4,21;3, 34, 90, 97, 107, 128, 136
2745;Приборостроительная ул 19 ;;0;1;0;;дооборуд,
2746;Приборостроительная ул 21 ;170;9151,4;9;465,5;5,09;24, 62, 66, 90, 98, 133, 134, 147, 158
2747;Приборостроительная ул 26 ;80;3491,4;7;277,8;7,96;11, 13, 14, 22, 60, 71, 76
2748;Приборостроительная ул 28 ;100;3400,9;0;0;0,00;
2749;Приборостроительная ул 30 ;80;3551,5;6;292,5;8,24;10,34,35,39,49,58,
2750;Приборостроительная ул 32 ;101;3388,4;0;0;0,00;
2751;Приборостроительная ул 34 ;80;3571,2;6;268,1;7,51;19, 36, 59, 72, 78, 79
2752;Приборостроительная ул 36 ;80;3551,3;0;0;0,00;
2753;Приборостроительная ул 38 ;80;3502,3;0;0;0,00;
2754;Приборостроительная ул 42 ;64;2537,3;0;0;0,00;
2755;Приборостроительная ул 44 ;48;2010;0;0;0,00;
2756;Приборостроительная ул 46 ;60;2521;0;0;0,00;
2757;Приборостроительная ул 48 ;54;2292,3;0;0;0,00;
2758;Приборостроительная ул 50 ;80;3559,9;3;116,2;3,26;35,59,72,
2759;Приборостроительная ул 52 ;49;2000,8;0;0;0,00;
2760;Приборостроительная ул 54 ;61;2501,4;0;0;0,00;
2761;Приборостроительная ул 56 ;64;2531,2;0;0;0,00;
2762;Приборостроительная ул 59 ;1;71;1;71;100,00;4,
2763;Приборостроительная ул 60 ;81;3123,1;0;0;0,00;
2764;Приборостроительная ул 62 ;69;2552,55;0;0;0,00;
2765;Приборостроительная ул 64 ;100;3402,6;0;0;0,00;
2766;Приборостроительная ул 66 ;70;2570,9;0;0;0,00;
2768;Приборостроительная ул 68 ;100;3401,4;0;0;0,00;
2769;Приборостроительная ул 70 ;82;3476,9;0;0;0,00;
2770;Приборостроительная ул 72 ;101;3394,9;0;0;0,00;
2771;Приборостроительная ул 76 ;83;3518,5;10;359,6;10,22;1, 4, 4.1, 6, 29, 30, 41, 44, 44.1, 67
2772;Приборостроительная ул 8 ;144;7577,9;10;519,6;6,86;8,22,72,75,110,123,124,129,130,135,
2773;Привокзальная ул 10 ;125;5173,6;11;461,1;8,91;11, 15, 29, 43, 47, 65, 81, 82, 98, 105, 108
2774;Привокзальная ул 12 ;60;2530;4;172,7;6,83;23,24,49,55,
2775;Привокзальная ул 13 ;92;3866,6;7;314,3;8,13;12, 27, 70, 75, 77, 80, 85
2776;Привокзальная ул 15 ;48;2006;4;171,1;8,53;8, 12, 35, 42
2777;Привокзальная ул 2 ;48;1448,9;4;146,9;10,14;2, 18, 35, 46
2778;Привокзальная ул 28 ;68;4576,2;0;0;0,00;
2779;Привокзальная ул 30 ;21;697,4;7;230,4;33,04;7,9,11\1,13,15,16,17,
2780;Привокзальная ул 32 ;1;53,2;1;53,2;100,00;24,
2781;Привокзальная ул 38 ;8;400,6;4;200,2;63,11;2,3,6,7,
2782;Привокзальная ул 38 ;;;1;52,6;;8
2783;Привокзальная ул 4 ;23;1371,8;1;43,3;3,16;22
2784;Привокзальная ул 40 ;4;112,4;4;112,4;100,00;1, 2, 3, 5
2785;Привокзальная ул 42 ;4;125,8;4;125,8;100,00;1,2,4,5,
2786;Привокзальная ул 6 ;69;4344,1;2;112,8;2,60;15, 38(56/80)
2787;Привокзальная ул 6 ;;52,3;0;0;0,00;
2788;Привокзальный пер 1 ;62;2599,5;6;267;10,27;4, 29, 30, 41, 48, 59
2789;Привокзальный пер 3 ;40;1601,8;4;134,9;8,42;1,6,24,36,
2790;Привокзальный пер 5 ;38;1517,7;7;335,4;22,10;2,3,8,12,14,20,31,
2791;Придорожная ул 10 ;4;149;1;48,6;32,62;3,
2792;Придорожная ул 12 ;1;46,1;1;46,1;100,00;1,
2793;Придорожная ул 12 ;1;54,9;1;54,9;100,00;2,
2794;Придорожная ул 7 ;4;172,2;0;0;0,00;
2795;Пролетарская Гора 11 ;14;1844;0;0;6,21;
2796;Пролетарская Гора 11 ;;114,6;1;114,6;;16 (специализированный служебный жилищный фонд)
2797;Пролетарская Гора 3 ;72;4186,2;1;55,2;1,32;35,
2798;Пролетарская Гора 5 ;40;1767,2;2;82,3;4,66;16,25,
2799;Пролетарская Гора 5 ;5;450,9;0;0;;
2800;Пролетарская Гора 7 ;52;3252,9;1;63,7;1,96;32,
2801;Прядильная ул 101 ;88;4171,2;4;219,9;6,47;34, 45, 52, 86
2802;Прядильная ул 101 ;;;1;50;;57
2803;Прядильная ул 50 ;3;91,6;3;91,6;100,00;1,2,3,
2804;Прядильная ул 65 ;6;142,9;0;0;0,00;
2805;Прядильная ул 96;1;98,1;1;98,1;100,00;7/28 долей в жилом доме
2806;Пушкина ул 100 ;4;130,9;3;103,5;100,00;1,3,9,
2807;Пушкина ул 100 ;;27,4;1;27,4;;2
2808;Пушкина ул 100 А;5;167,7;2;51,2;103,46;3, 4
2809;Пушкина ул 100а;;;1;53,3;;2
2810;Пушкина ул 100а;;;1;34,5;;5(3/4)
2811;Пушкина ул 100а;;;1;34,5;;5(2/8)
2812;Пушкина ул 100 Б;2;63;0;0;0,00;
2813;Пушкина ул 102 ;4;86,7;0;0;0,00;
2814;Пушкина ул 112 ;9;418,3;6;310,7;74,28;1,4,6,8,10,16,
2815;Пушкина ул 116 ;8;366,9;1;48,9;13,33;2
2816;Пушкина ул 12 ;21;726,5;3;118,4;16,30;6,16,28,
2817;Пушкина ул 12 А;1;38;0;0;0,00;
2818;Пушкина ул 152 ;5;163,2;1;33,7;20,65;1,
2819;Пушкина ул 159 ;2;128,2;0;0;0,00;
2820;Пушкина ул 172 ;1;67,8;1;67,8;100,00;1,
2821;Пушкина ул 179 ;3;96,2;3;96,2;100,00;1, 2, 3
2822;Пушкина ул 18 ;31;1615,7;2;132;8,17;10,34,
2823;Пушкина ул 20 ;88;3944,8;3;127,2;3,22;17, 34, 40
2824;Пушкина ул 204 ;4;139,9;2;48,1;34,38;2,5,
2825;Пушкина ул 214 ;16;556;1;37,6;6,76;7
2826;Пушкина ул 24 ;92;4250,35;1;48,65;1,14;78.1,
2827;Пушкина ул 29 ;11;405,7;0;0;0,00;
2828;Пушкина ул 29 ;6;255,6;0;0;0,00;
2829;Пушкина ул 33 ;5;116,7;0;0;0,00;
2830;Пушкина ул 4 Б;2;60,5;0;0;0,00;
2831;Пушкина ул 44 ;91;4524,2;4;211,4;4,67;29, 40, 70, 79
2832;Пушкина ул 45 ;6;208,8;3;126,1;60,39;2,5,9,
2833;Пушкина ул 46 ;39;1555,2;3;90,3;5,81;18, 20, 32
2834;Пушкина ул 47 А;1;19,8;0;0;0,00;
2835;Пушкина ул 49 ;24;945,3;5;222,5;23,54;2,4,16,21,23,
2836;Пушкина ул 49 А;8;517,5;0;0;0,00;
2837;Пушкина ул 57 ;3;74,5;1;22;29,53;2(5),
2838;Пушкина ул 6 ;7;182,2;0;0;0,00;
2839;Пушкина ул 7 ;25;692,6;1;26,8;3,87;17,
2840;Пушкина ул 7 А;6;182,9;1;27,4;14,98;10,
2841;Пушкина ул 71 ;8;206,4;4;105,8;51,26;2,3,7,9,
2842;Пушкина ул 8 ;8;261,22;0;0;0,00;
2843;Пушкина ул 84 ;4;152,2;1;27;17,74;3,
2844;Пушкина ул 9 ;24;1945,9;0;0;0,00;
2845;Пушкина ул 98 ;4;121,2;2;70,8;58,42;1,3,
2846;Пятницкий пер 2 А;13;352,6;3;84,3;31,71;3,10,14,
2847;Пятницкий пер 2 А;;27,5;1;27,5;;13
2848;Рабочий городок 1 ;6;200,6;0;0;0,00;
2849;Рабочий городок 10 ;1;46,3;0;0;0,00;
2850;Рабочий городок 10 ;1;46,7;0;0;0,00;
2851;Рабочий городок 13 ;3;97,3;0;0;0,00;
2852;Рабочий городок 14 ;1;23,3;1;23,3;100,00;1,
2853;Рабочий городок 15 ;2;103,5;0;0;0,00;
2854;Рабочий городок 18 ;1;69,3;1;69,3;100,00;
2855;Рабочий городок 19 ;1;28,3;0;0;0,00;
2856;Рабочий городок 2 ;2;41,7;0;0;0,00;
2857;Рабочий городок 20 ;3;68,5;0;0;0,00;
2858;Рабочий городок 21 ;14;368,2;1;28;7,60;2,
2859;Рабочий городок 22 ;13;384,4;0;0;36,12;
2860;Рабочий городок 22 ;;;1;28,96;;4,
2861;Рабочий городок 22 ;;;1;28,8;;9,
2862;Рабочий городок 22 ;;;1;41,1;;2,
2863;Рабочий городок 22 ;;;1;40;;11
2864;Рабочий городок 22 ;;;0;0;;
2865;Рабочий городок 23 ;4;163,4;0;0;0,00;
2866;Рабочий городок 28 ;2;49,8;0;0;0,00;
2867;Рабочий городок 29 ;2;72,2;0;0;0,00;
2868;Рабочий городок 3 ;1;49,1;0;0;0,00;
2869;Рабочий городок 31 ;3;78,9;2;49,4;80,49;1,4,
2870;Рабочий городок 31 ;;;1;42,8;;2,
2871;Рабочий городок 31 ;;;1;29,5;;1
2872;Рабочий городок 32 ;4;187,5;0;0;22,51;
2873;Рабочий городок 32 ;;42,2;1;42,2;;4,
2874;Рабочий городок 33 ;4;156,7;2;79,9;50,99;2,3,
2875;Рабочий городок 36 ;6;118,3;3;64;128,32;2,7,9,
2876;Рабочий городок 36 ;;22;1;22;;1
2877;Рабочий городок 36 ;;13,7;1;13,7;;3
2878;Рабочий городок 36 ;;18,7;1;18,7;;4
2879;Рабочий городок 36 ;;33,4;1;33,4;;4а
2880;Рабочий городок 38 ;13;423,9;0;0;0,00;
2881;Рабочий городок 4 ;2;60,2;1;20,5;34,05;1,
2882;Рабочий городок 41 ;1;51,84;1;51,84;100,00;1,
2883;Рабочий городок 42 ;1;45,8;1;45,8;100,00;1,
2884;Рабочий городок 44 ;1;43,4;1;43,4;100,00;1,
2885;Рабочий городок 47 ;1;77,7;0;0;0,00;
2886;Рабочий городок 6 ;2;63,5;0;0;0,00;
2887;Рабочий городок 9 ;1;30,2;1;30,2;100,00;1,
2888;Раздольная ул 1 ;4;193,9;0;0;0,00;
2889;Раздольная ул 11;1;70,5;1;70,5;0,00;1
2890;Раздольная ул 11;1;42,2;1;42,2;0,00;54
2891;Раздольная ул 11;1;42,9;1;42,9;0,00;6
2892;Раздольная ул 11;1;43,4;1;43,4;0,00;51
2893;Раздольная ул 11;1;41,8;1;41,8;0,00;72
2894;Раздольная ул 11;1;41,9;1;41,9;0,00;108
2895;Раздольная ул 11;1;68,6;1;68,6;0,00;64
2896;Раздольная ул 11;1;68,8;1;68,8;0,00;82
2897;Раздольная ул 11;1;68,7;1;68,7;0,00;88
2898;Раздольная ул 11;1;69,1;1;69,1;0,00;94
2899;Раздольная ул 11;1;68,9;1;68,9;0,00;100
2900;Раздольная ул 11;1;69,2;1;69,2;0,00;106
2901;Раздольная ул 11;1;69,3;1;69,3;0,00;118
2902;Раздольная ул 11;1;69,4;1;69,4;0,00;130
2903;Раздольная ул 11;1;43;1;43;0,00;2
2904;Раздольная ул 11;1;42,8;1;42,8;0,00;3
2905;Раздольная ул 11;1;70,3;1;70,3;0,00;4
2906;Раздольная ул 11;1;42,8;1;42,8;0,00;50
2907;Раздольная ул 11;1;68;1;68;0,00;55
2908;Раздольная ул 11;1;68,5;1;68,5;0,00;58
2909;Раздольная ул 11;1;41,6;1;41,6;0,00;90
2910;Раздольная ул 11;1;41,6;1;41,6;0,00;96
2912;Раздольная ул 11;1;40,6;1;40,6;0,00;105
2913;Раздольная ул 11;1;42;1;42;0,00;132
2914;Раздольная ул 11;1;70,6;1;70,6;0,00;8
2915;Раздольная ул 11;1;69,9;1;69,9;0,00;12
2916;Раздольная ул 11;1;70,1;1;70,1;0,00;16
2917;Раздольная ул 11;1;70,5;1;70,5;0,00;52
2918;Раздольная ул 11;1;72,5;1;32,9;0,00;70(33/73)
2919;Раздольная ул 11;1;68,8;1;68,8;0,00;73
2920;Раздольная ул 11;1;67,8;1;67,8;0,00;109
2921;Раздольная ул 104 ;3;120,7;0;0;0,00;
2922;Раздольная ул 19 ;35;1367,7;0;0;32,15;
2923;Раздольная ул 19 ;;65,2;3;65,2;;33 (специализированный маневренный жилищный фонд), 33. (специализированный маневренный жилищный фонд), 33..(специализированный маневренный жилищный фонд)
2924;Раздольная ул 19 ;;28,5;1;28,5;;9(3),
2925;Раздольная ул 19 ;;17,3;1;17,3;;9(5),
2926;Раздольная ул 19 ;;65,2;3;65,2;;13 (специализированный маневренный жилищный фонд), 13. (специализированный маневренный жилищный фонд), 13.. (специализированный маневренный жилищный фонд)
2927;Раздольная ул 19 ;;65,2;3;65,2;;21 (специализированный маневренный жилищный фонд), 21. (специализированный маневренный жилищный фонд), 21.. (специализированный маневренный жилищный фонд)
2928;Раздольная ул 19 ;;68,1;1;68,1;;24 (специализированный маневренный жилищный фонд)
2929;Раздольная ул 19 ;;65;3;65;;48 (специализированный маневренный жилищный фонд), 48.(специализированный маневренный жилищный фонд), 48..(специализированный маневренный жилищный фонд)
2930;Раздольная ул 19 ;;65,2;2;65,2;;25 (специализированный маневренный жилищный фонд), 25. (специализированный маневренный жилищный фонд)
2931;Раздольная ул 21 ;110;5790,1;2;106,3;1,84;31, 55
2932;Раздольная ул 23 ;144;7745,7;14;757,9;10,63;5, 26, 65, 76, 80, 82, 86, 99, 106, 112, 123, 128, 133, 141
2933;Раздольная ул 23 ;;;1;65,1;;108
2934;Раздольная ул 24;1;12558,6;0;0;8,14;
2935;Раздольная ул 24;1;;1;51;;28
2936;Раздольная ул 24;1;;1;50,8;;32
2937;Раздольная ул 24;1;;1;64,9;;43
2938;Раздольная ул 24;1;;1;52,2;;45
2939;Раздольная ул 24;1;;1;65,4;;46
2940;Раздольная ул 24;1;;1;65,1;;61
2941;Раздольная ул 24;1;;1;65,3;;64
2942;Раздольная ул 24;1;;1;65,8;;67
2943;Раздольная ул 24;1;;1;52,3;;69
2944;Раздольная ул 24;1;;1;50,7;;107
2945;Раздольная ул 24;1;;1;65;;113
2946;Раздольная ул 24;1;;1;52,2;;115
2947;Раздольная ул 24;1;;1;52;;124
2948;Раздольная ул 24;1;;1;51,9;;127
2949;Раздольная ул 24;1;;1;65,2;;140
2950;Раздольная ул 24;1;;1;50,5;;165
2951;Раздольная ул 24;1;;1;50,8;;177
2952;Раздольная ул 24;1;;1;51;;169
2953;Раздольная ул 25 ;108;5856,2;7;433,4;7,40;19, 25, 37, 41, 61, 77, 105
2954;Раздольная ул 26;1;14462,2;0;0;10,29;
2955;Раздольная ул 26;1;;1;40,3;;168
2956;Раздольная ул 26;1;;1;46,7;;146
2957;Раздольная ул 26;1;;1;62,9;;130
2958;Раздольная ул 26;1;;1;50,4;;147
2959;Раздольная ул 26;1;;1;45,7;;93
2960;Раздольная ул 26;1;;1;63,1;;69
2961;Раздольная ул 26;1;;1;45,7;;101
2962;Раздольная ул 26;1;;1;63,2;;134
2963;Раздольная ул 26;1;;1;27,3;;102
2964;Раздольная ул 26;1;;1;50,9;;58
2965;Раздольная ул 26;1;;1;40,4;;183
2966;Раздольная ул 26;1;;1;40,4;;178
2967;Раздольная ул 26;1;;1;50,9;;66
2968;Раздольная ул 26;1;;1;50,9;;38
2969;Раздольная ул 26;1;;1;44,3;;29
2970;Раздольная ул 26;1;;1;44,3;;5
2971;Раздольная ул 26;1;;2;50,2;;142, 142
2972;Раздольная ул 26;1;;1;50,3;;113
2973;Раздольная ул 26;1;;1;45,8;;73
2974;Раздольная ул 26;1;;1;50,4;;182
2975;Раздольная ул 26;1;;1;38,4;;79
2976;Раздольная ул 26;1;;1;63,1;;41
2977;Раздольная ул 26;1;;2;50,4;;177, 177
2978;Раздольная ул 26;1;;1;38,4;;75
2979;Раздольная ул 26;1;;1;50,3;;125
2980;Раздольная ул 26;1;;1;63,1;;45
2981;Раздольная ул 26;1;;1;45,7;;77
2982;Раздольная ул 26;1;;1;50,4;;162
2983;Раздольная ул 26;1;;1;50,3;;121
2984;Раздольная ул 26;1;;1;37,9;;15
2985;Раздольная ул 26;1;;1;38,8;;185
2986;Раздольная ул 26;1;;1;47,1;;102(20/47)
2987;Раздольная ул 27;1;9594,3;1;37,2;0,39;10
2988;Раздольная ул 27а;1;30412,1;1;45,1;0,28;458
2989;Раздольная ул 27а;1;;1;39;;1
2990;Раздольная ул 39 ;1;37,4;0;0;0,00;
2991;Раздольная ул 39Б;1;61,2;0;0;0,00;
2992;Раздольная ул 41 Б;1;37,4;0;0;0,00;
2993;Раздольная ул 41 Б;1;37,3;1;37,3;0,00;251,
2994;Раздольная ул 43 ;122;6443,5;8;456;7,08;20, 35, 72, 86, 88, 96, 99, 120
2995;Раздольная ул 45 ;266;16705,8;14;897,3;5,37;2, 118, 126, 130, 135, 136, 138, 143, 178, 208, 211, 217, 225, 229
2996;Раздольная ул 49 ;72;3823,7;1;62,1;1,62;72
2997;Раздольная ул 5 ;8;490,6;0;0;0,00;
2998;Раздольная ул 55 ;71;3976,8;1;51,6;1,30;47
2999;Раздольная ул 62 ;120;6435,2;1;53,3;1,41;118
3000;Раздольная ул 62 ;;37,2;1;37,2;;78,
3002;Раздольная ул 64 ;80;4306,09;0;0;0,87;
3003;Раздольная ул 64 ;;;1;37,6;;18 (специализированный жилищный фонд для детей-сирот)
3004;Раздольная ул 66 ;160;8609,5;11;668,1;7,76;1, 17, 29, 36, 40, 57, 80, 117, 129, 134, 155
3005;Раздольная ул 68 ;144;7629,94;9;517,6;6,78;28, 44, 72, 76, 89, 95, 96, 107, 138
3006;Раздольная ул 68 Б;241;13533;2;112,6;0,83;26, 114
3007;Раздольная ул 70 ;109;5908,7;5;284,6;4,82;32, 34, 43, 73, 90
3008;Раздольная ул 72 ;145;7764,1;18;961,3;12,38;1, 1.1, 2, 20, 25, 28, 47, 50, 53, 56, 60, 61, 76, 105, 108, 118, 128, 129
3009;Раздольная ул 74 ;144;7814,7;15;868,7;11,12;1, 16, 30, 32, 37, 43, 47, 65, 69, 99, 101, 120, 125, 135, 141
3010;Раздольная ул 76 4;1;80,3;1;48,2;0,00;2,
3011;Раздольная ул 76 4;1;60,7;1;60,7;0,00;8,
3012;Раздольная ул 76 4;1;78,2;1;78,2;0,00;9,
3013;Раздольная ул 76 4;1;79,3;0;0;0,00;
3014;Раздольная ул 76 4;1;80,2;1;80,2;0,00;78,
